Year,Total Net Profit,t_init
2014,-12537808,0
2015,1138888.11,1
2016,1581257.6,2
2017,1494572.4,3
2018,1412639.32,4
2019,1335197.85,5
2020,1262001.75,6
2021,1192818.28,7
2022,1127427.49,8
2023,1405812.55,9
